Year,Electricity Consumption (MWh),Type
2005,88199134.0,Actual
2006,97006748.0,Actual
2007,104192164.0,Actual
2008,111967946.0,Actual
2009,117166198.0,Actual
2010,127491662.0,Actual
2011,135326284.0,Actual
2012,145945800.0,Actual
2013,148564935.922,Actual
2014,164636162.09899998,Actual
2015,180423304.57,Actual
2016,180572179.983,Actual
2017,181599022.541,Actual
2018,170717275.325,Actual
2019,167976564.755,Actual
2020,172844378.556,Actual
2021,182946377.922,Actual
2022,187623925.899,Actual
2023,203893473.59217072,Forecast
2024,209769979.21256256,Forecast
2025,215646484.8329544,Forecast
2026,221522990.45334625,Forecast
2027,227399496.07374,Forecast
2028,233276001.69413185,Forecast
2029,239152507.3145237,Forecast
2030,245029012.93491557,Forecast
2031,250905518.5553074,Forecast
2032,256782024.17569923,Forecast
2033,262658529.796093,Forecast
2034,268535035.41648483,Forecast
2035,274411541.0368767,Forecast
2036,280288046.6572685,Forecast
2037,286164552.2776604,Forecast
2038,292041057.8980522,Forecast
2039,297917563.518446,Forecast
2040,303794069.1388378,Forecast
