Year,Trend only (MWh),Average Weather (MWh)
2023,203893473.59217072,148066670.19844437
2024,209769979.21256256,148066670.19844437
2025,215646484.8329544,148066670.19844437
2026,221522990.45334625,148066670.19844437
2027,227399496.07374,148066670.19844437
2028,233276001.69413185,148066670.19844437
2029,239152507.3145237,148066670.19844437
2030,245029012.93491554,148066670.19844437
2031,250905518.5553074,148066670.19844437
2032,256782024.17569923,148066670.19844437
2033,262658529.796093,148066670.19844437
2034,268535035.41648483,148066670.19844437
2035,274411541.0368767,148066670.19844437
2036,280288046.6572685,148066670.19844437
2037,286164552.27766037,148066670.19844437
2038,292041057.8980522,148066670.19844437
2039,297917563.51844597,148066670.19844437
2040,303794069.1388378,148066670.19844437
